Variable,Description,Special
AMT_ANNUITY,Loan annuity,
AMT_ANNUITY,Annuity of the Credit Bureau credit,
AMT_ANNUITY,Annuity of previous application,
AMT_CREDIT,Credit amount of the loan,
AMT_CREDIT,"Final credit amount on the previous application. This differs from AMT_APPLICATION in a way that the AMT_APPLICATION is the amount for which the client initially applied for, but during our approval process he could have received different amount - AMT_CREDIT",
AMT_GOODS_PRICE,For consumer loans it is the price of the goods for which the loan is given,
AMT_GOODS_PRICE,Goods price of good that client asked for (if applicable) on the previous application,
AMT_INCOME_TOTAL,Income of the client,
AMT_REQ_CREDIT_BUREAU_DAY,Number of enquiries to Credit Bureau about the client one day before application (excluding one hour before application),
AMT_REQ_CREDIT_BUREAU_HOUR,Number of enquiries to Credit Bureau about the client one hour before application,
AMT_REQ_CREDIT_BUREAU_MON,Number of enquiries to Credit Bureau about the client one month before application (excluding one week before application),
AMT_REQ_CREDIT_BUREAU_QRT,Number of enquiries to Credit Bureau about the client 3 month before application (excluding one month before application),
AMT_REQ_CREDIT_BUREAU_WEEK,Number of enquiries to Credit Bureau about the client one week before application (excluding one day before application),
AMT_REQ_CREDIT_BUREAU_YEAR,Number of enquiries to Credit Bureau about the client one day year (excluding last 3 months before application),
CNT_CHILDREN,Number of children the client has,
CNT_FAM_MEMBERS,How many family members does client have,
DAYS_BIRTH,Client's age in days at the time of application,time only relative to the application
DAYS_EMPLOYED,How many days before the application the person started current employment,time only relative to the application
DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan,time only relative to the application
DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone,
DAYS_REGISTRATION,How many days before the application did client change his registration,time only relative to the application
DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) ,
FLAG_CONT_MOBILE,"Was mobile phone reachable (1=YES, 0=NO)",
FLAG_EMAIL,"Did client provide email (1=YES, 0=NO)",
FLAG_EMP_PHONE,"Did client provide work phone (1=YES, 0=NO)",
FLAG_MOBIL,"Did client provide mobile phone (1=YES, 0=NO)",
FLAG_OWN_CAR,Flag if the client owns a car,
FLAG_OWN_REALTY,Flag if client owns a house or flat,
FLAG_PHONE,"Did client provide home phone (1=YES, 0=NO)",
FLAG_WORK_PHONE,"Did client provide home phone (1=YES, 0=NO)",
NAME_CONTRACT_TYPE,Identification if loan is cash or revolving,
NAME_CONTRACT_TYPE,"Contract product type (Cash loan, consumer loan [POS] ,...) of the previous application",
NAME_INCOME_TYPE,"Clients income type (businessman, working, maternity leave,?",
NAME_TYPE_SUITE,Who was accompanying client when he was applying for the loan,
NAME_TYPE_SUITE,Who accompanied client when applying for the previous application,
OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default,
ORGANIZATION_TYPE,Type of organization where client works,
OWN_CAR_AGE,Age of client's car,
REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region),normalized 
REGION_RATING_CLIENT,"Our rating of the region where client lives (1,2,3)",
TARGET,"Target variable (1 - client with payment difficulties: he/she had late payment more than X days on at least one of the first Y installments of the loan in our sample, 0 - all other cases)",
